index,Learning Rate, Epoch,Batch Size,PCA Comp,k-fold,Norm,Loss
256,  0.01, 200, 64, 5, 10, min-max norm  ,0.5868333333333333
257,  0.01, 200, 64, 5, 10, z-score norm  ,0.6701666666666667
258,  0.01, 200, 64, 10, 10, min-max norm  ,0.7035
259,  0.01, 200, 64, 10, 10, z-score norm  ,0.7948333333333333
260,  0.01, 200, 64, 50, 10, min-max norm  ,0.602
261,  0.01, 200, 64, 50, 10, z-score norm  ,0.904
262,  0.01, 200, 64, 100, 10, min-max norm  ,0.43433333333333335
263,  0.01, 200, 64, 100, 10, z-score norm  ,0.917
264,  0.01, 200, 128, 5, 10, min-max norm  ,0.5458333333333333
265,  0.01, 200, 128, 5, 10, z-score norm  ,0.6628333333333334
266,  0.01, 200, 128, 10, 10, min-max norm  ,0.6758333333333333
267,  0.01, 200, 128, 10, 10, z-score norm  ,0.7946666666666666
268,  0.01, 200, 128, 50, 10, min-max norm  ,0.439
269,  0.01, 200, 128, 50, 10, z-score norm  ,0.8975
270,  0.01, 200, 128, 100, 10, min-max norm  ,0.2856666666666667
271,  0.01, 200, 128, 100, 10, z-score norm  ,0.907
272,  0.01, 200, 256, 5, 10, min-max norm  ,0.4861666666666667
273,  0.01, 200, 256, 5, 10, z-score norm  ,0.6536666666666666
274,  0.01, 200, 256, 10, 10, min-max norm  ,0.6213333333333333
275,  0.01, 200, 256, 10, 10, z-score norm  ,0.7931666666666667
276,  0.01, 200, 256, 50, 10, min-max norm  ,0.37133333333333335
277,  0.01, 200, 256, 50, 10, z-score norm  ,0.8986666666666666
278,  0.01, 200, 256, 100, 10, min-max norm  ,0.11316666666666667
279,  0.01, 200, 256, 100, 10, z-score norm  ,0.9081666666666667
280,  0.01, 200, 500, 5, 10, min-max norm  ,0.44166666666666665
281,  0.01, 200, 500, 5, 10, z-score norm  ,0.6533333333333333
282,  0.01, 200, 500, 10, 10, min-max norm  ,0.5755
283,  0.01, 200, 500, 10, 10, z-score norm  ,0.7926666666666666
284,  0.01, 200, 500, 50, 10, min-max norm  ,0.19783333333333333
285,  0.01, 200, 500, 50, 10, z-score norm  ,0.8938333333333334
286,  0.01, 200, 500, 100, 10, min-max norm  ,0.11233333333333333
287,  0.01, 200, 500, 100, 10, z-score norm  ,0.8998333333333334
288,  0.01, 500, 64, 5, 10, min-max norm  ,0.6331666666666667
289,  0.01, 500, 64, 5, 10, z-score norm  ,0.6786666666666666
290,  0.01, 500, 64, 10, 10, min-max norm  ,0.747
291,  0.01, 500, 64, 10, 10, z-score norm  ,0.7905
292,  0.01, 500, 64, 50, 10, min-max norm  ,0.7246666666666667
293,  0.01, 500, 64, 50, 10, z-score norm  ,0.8968333333333334
294,  0.01, 500, 64, 100, 10, min-max norm  ,0.6345
295,  0.01, 500, 64, 100, 10, z-score norm  ,0.913
296,  0.01, 500, 128, 5, 10, min-max norm  ,0.6008333333333333
297,  0.01, 500, 128, 5, 10, z-score norm  ,0.6731666666666667
298,  0.01, 500, 128, 10, 10, min-max norm  ,0.7201666666666666
299,  0.01, 500, 128, 10, 10, z-score norm  ,0.7995
300,  0.01, 500, 128, 50, 10, min-max norm  ,0.6571666666666667
301,  0.01, 500, 128, 50, 10, z-score norm  ,0.9
302,  0.01, 500, 128, 100, 10, min-max norm  ,0.49183333333333334
303,  0.01, 500, 128, 100, 10, z-score norm  ,0.917
304,  0.01, 500, 256, 5, 10, min-max norm  ,0.5625
305,  0.01, 500, 256, 5, 10, z-score norm  ,0.6586666666666666
306,  0.01, 500, 256, 10, 10, min-max norm  ,0.7071666666666667
307,  0.01, 500, 256, 10, 10, z-score norm  ,0.7848333333333334
308,  0.01, 500, 256, 50, 10, min-max norm  ,0.5531666666666667
309,  0.01, 500, 256, 50, 10, z-score norm  ,0.8926666666666667
310,  0.01, 500, 256, 100, 10, min-max norm  ,0.29033333333333333
311,  0.01, 500, 256, 100, 10, z-score norm  ,0.9051666666666667
312,  0.01, 500, 500, 5, 10, min-max norm  ,0.5166666666666667
313,  0.01, 500, 500, 5, 10, z-score norm  ,0.6511666666666667
314,  0.01, 500, 500, 10, 10, min-max norm  ,0.6385
315,  0.01, 500, 500, 10, 10, z-score norm  ,0.791
316,  0.01, 500, 500, 50, 10, min-max norm  ,0.32716666666666666
317,  0.01, 500, 500, 50, 10, z-score norm  ,0.899
318,  0.01, 500, 500, 100, 10, min-max norm  ,0.1395
319,  0.01, 500, 500, 100, 10, z-score norm  ,0.9083333333333333
320,  0.001, 10, 64, 5, 10, min-max norm  ,0.22766666666666666
321,  0.001, 10, 64, 5, 10, z-score norm  ,0.54
322,  0.001, 10, 64, 10, 10, min-max norm  ,0.25583333333333336
323,  0.001, 10, 64, 10, 10, z-score norm  ,0.7058333333333333
324,  0.001, 10, 64, 50, 10, min-max norm  ,0.11016666666666666
325,  0.001, 10, 64, 50, 10, z-score norm  ,0.8385
326,  0.001, 10, 64, 100, 10, min-max norm  ,0.10716666666666666
327,  0.001, 10, 64, 100, 10, z-score norm  ,0.868
328,  0.001, 10, 128, 5, 10, min-max norm  ,0.22166666666666668
329,  0.001, 10, 128, 5, 10, z-score norm  ,0.49966666666666665
330,  0.001, 10, 128, 10, 10, min-max norm  ,0.16866666666666666
331,  0.001, 10, 128, 10, 10, z-score norm  ,0.682
332,  0.001, 10, 128, 50, 10, min-max norm  ,0.1125
333,  0.001, 10, 128, 50, 10, z-score norm  ,0.8068333333333333
334,  0.001, 10, 128, 100, 10, min-max norm  ,0.11366666666666667
335,  0.001, 10, 128, 100, 10, z-score norm  ,0.8308333333333333
336,  0.001, 10, 256, 5, 10, min-max norm  ,0.20633333333333334
337,  0.001, 10, 256, 5, 10, z-score norm  ,0.5051666666666667
338,  0.001, 10, 256, 10, 10, min-max norm  ,0.12733333333333333
339,  0.001, 10, 256, 10, 10, z-score norm  ,0.6598333333333334
340,  0.001, 10, 256, 50, 10, min-max norm  ,0.11083333333333334
341,  0.001, 10, 256, 50, 10, z-score norm  ,0.7785
342,  0.001, 10, 256, 100, 10, min-max norm  ,0.1105
343,  0.001, 10, 256, 100, 10, z-score norm  ,0.8003333333333333
344,  0.001, 10, 500, 5, 10, min-max norm  ,0.1905
345,  0.001, 10, 500, 5, 10, z-score norm  ,0.49716666666666665
346,  0.001, 10, 500, 10, 10, min-max norm  ,0.12166666666666667
347,  0.001, 10, 500, 10, 10, z-score norm  ,0.6546666666666666
348,  0.001, 10, 500, 50, 10, min-max norm  ,0.11083333333333334
349,  0.001, 10, 500, 50, 10, z-score norm  ,0.754
350,  0.001, 10, 500, 100, 10, min-max norm  ,0.10733333333333334
351,  0.001, 10, 500, 100, 10, z-score norm  ,0.7773333333333333
352,  0.001, 50, 64, 5, 10, min-max norm  ,0.36033333333333334
353,  0.001, 50, 64, 5, 10, z-score norm  ,0.619
354,  0.001, 50, 64, 10, 10, min-max norm  ,0.4643333333333333
355,  0.001, 50, 64, 10, 10, z-score norm  ,0.7643333333333333
356,  0.001, 50, 64, 50, 10, min-max norm  ,0.1105
357,  0.001, 50, 64, 50, 10, z-score norm  ,0.8885
358,  0.001, 50, 64, 100, 10, min-max norm  ,0.10316666666666667
359,  0.001, 50, 64, 100, 10, z-score norm  ,0.8886666666666667
360,  0.001, 50, 128, 5, 10, min-max norm  ,0.2758333333333333
361,  0.001, 50, 128, 5, 10, z-score norm  ,0.5995
362,  0.001, 50, 128, 10, 10, min-max norm  ,0.3625
363,  0.001, 50, 128, 10, 10, z-score norm  ,0.7481666666666666
364,  0.001, 50, 128, 50, 10, min-max norm  ,0.10883333333333334
365,  0.001, 50, 128, 50, 10, z-score norm  ,0.8695
366,  0.001, 50, 128, 100, 10, min-max norm  ,0.117
367,  0.001, 50, 128, 100, 10, z-score norm  ,0.8803333333333333
368,  0.001, 50, 256, 5, 10, min-max norm  ,0.237
369,  0.001, 50, 256, 5, 10, z-score norm  ,0.5588333333333333
370,  0.001, 50, 256, 10, 10, min-max norm  ,0.2678333333333333
371,  0.001, 50, 256, 10, 10, z-score norm  ,0.7268333333333333
372,  0.001, 50, 256, 50, 10, min-max norm  ,0.115
373,  0.001, 50, 256, 50, 10, z-score norm  ,0.8405
374,  0.001, 50, 256, 100, 10, min-max norm  ,0.11433333333333333
375,  0.001, 50, 256, 100, 10, z-score norm  ,0.864
376,  0.001, 50, 500, 5, 10, min-max norm  ,0.215
377,  0.001, 50, 500, 5, 10, z-score norm  ,0.5331666666666667
378,  0.001, 50, 500, 10, 10, min-max norm  ,0.2125
379,  0.001, 50, 500, 10, 10, z-score norm  ,0.6826666666666666
380,  0.001, 50, 500, 50, 10, min-max norm  ,0.11666666666666667
381,  0.001, 50, 500, 50, 10, z-score norm  ,0.8208333333333333
382,  0.001, 50, 500, 100, 10, min-max norm  ,0.12316666666666666
383,  0.001, 50, 500, 100, 10, z-score norm  ,0.8393333333333334
384,  0.001, 100, 64, 5, 10, min-max norm  ,0.409
385,  0.001, 100, 64, 5, 10, z-score norm  ,0.6375
386,  0.001, 100, 64, 10, 10, min-max norm  ,0.545
387,  0.001, 100, 64, 10, 10, z-score norm  ,0.7718333333333334
388,  0.001, 100, 64, 50, 10, min-max norm  ,0.108
389,  0.001, 100, 64, 50, 10, z-score norm  ,0.8818333333333334
390,  0.001, 100, 64, 100, 10, min-max norm  ,0.11316666666666667
391,  0.001, 100, 64, 100, 10, z-score norm  ,0.9026666666666666
392,  0.001, 100, 128, 5, 10, min-max norm  ,0.36616666666666664
393,  0.001, 100, 128, 5, 10, z-score norm  ,0.6228333333333333
394,  0.001, 100, 128, 10, 10, min-max norm  ,0.457
395,  0.001, 100, 128, 10, 10, z-score norm  ,0.7705
396,  0.001, 100, 128, 50, 10, min-max norm  ,0.1155
397,  0.001, 100, 128, 50, 10, z-score norm  ,0.8785
398,  0.001, 100, 128, 100, 10, min-max norm  ,0.10916666666666666
399,  0.001, 100, 128, 100, 10, z-score norm  ,0.8968333333333334
400,  0.001, 100, 256, 5, 10, min-max norm  ,0.2915
401,  0.001, 100, 256, 5, 10, z-score norm  ,0.5938333333333333
