index,Learning Rate, Epoch,Batch Size,PCA Comp,k-fold,Norm,Loss
140,  0.1, 500, 128, 50, 10, min-max norm  ,0.9746317512274959
141,  0.1, 500, 128, 50, 10, z-score norm  ,0.9893617021276596
142,  0.1, 500, 128, 100, 10, min-max norm  ,0.9705400981996727
143,  0.1, 500, 128, 100, 10, z-score norm  ,0.983633387888707
144,  0.1, 500, 256, 5, 10, min-max norm  ,0.9664484451718495
145,  0.1, 500, 256, 5, 10, z-score norm  ,0.9729950900163666
146,  0.1, 500, 256, 10, 10, min-max norm  ,0.967266775777414
147,  0.1, 500, 256, 10, 10, z-score norm  ,0.9615384615384616
148,  0.1, 500, 256, 50, 10, min-max norm  ,0.9705400981996727
149,  0.1, 500, 256, 50, 10, z-score norm  ,0.9844517184942717
150,  0.1, 500, 256, 100, 10, min-max norm  ,0.9705400981996727
151,  0.1, 500, 256, 100, 10, z-score norm  ,0.9844517184942717
152,  0.1, 500, 500, 5, 10, min-max norm  ,0.969721767594108
153,  0.1, 500, 500, 5, 10, z-score norm  ,0.969721767594108
154,  0.1, 500, 500, 10, 10, min-max norm  ,0.967266775777414
155,  0.1, 500, 500, 10, 10, z-score norm  ,0.9656301145662848
156,  0.1, 500, 500, 50, 10, min-max norm  ,0.9337152209492635
157,  0.1, 500, 500, 50, 10, z-score norm  ,0.9819967266775778
158,  0.1, 500, 500, 100, 10, min-max norm  ,0.9067103109656302
159,  0.1, 500, 500, 100, 10, z-score norm  ,0.9885433715220949
160,  0.01, 10, 64, 5, 10, min-max norm  ,0.94189852700491
161,  0.01, 10, 64, 5, 10, z-score norm  ,0.9648117839607201
162,  0.01, 10, 64, 10, 10, min-max norm  ,0.9607201309328969
163,  0.01, 10, 64, 10, 10, z-score norm  ,0.9648117839607201
164,  0.01, 10, 64, 50, 10, min-max norm  ,0.6759410801963993
165,  0.01, 10, 64, 50, 10, z-score norm  ,0.9844517184942717
166,  0.01, 10, 64, 100, 10, min-max norm  ,0.4672667757774141
167,  0.01, 10, 64, 100, 10, z-score norm  ,0.9762684124386252
168,  0.01, 10, 128, 5, 10, min-max norm  ,0.886252045826514
169,  0.01, 10, 128, 5, 10, z-score norm  ,0.9500818330605565
170,  0.01, 10, 128, 10, 10, min-max norm  ,0.9484451718494271
171,  0.01, 10, 128, 10, 10, z-score norm  ,0.9500818330605565
172,  0.01, 10, 128, 50, 10, min-max norm  ,0.5286415711947627
173,  0.01, 10, 128, 50, 10, z-score norm  ,0.9746317512274959
174,  0.01, 10, 128, 100, 10, min-max norm  ,0.5040916530278232
175,  0.01, 10, 128, 100, 10, z-score norm  ,0.983633387888707
176,  0.01, 10, 256, 5, 10, min-max norm  ,0.7283142389525368
177,  0.01, 10, 256, 5, 10, z-score norm  ,0.9607201309328969
178,  0.01, 10, 256, 10, 10, min-max norm  ,0.9009819967266776
179,  0.01, 10, 256, 10, 10, z-score norm  ,0.9566284779050737
180,  0.01, 10, 256, 50, 10, min-max norm  ,0.5032733224222586
181,  0.01, 10, 256, 50, 10, z-score norm  ,0.9746317512274959
182,  0.01, 10, 256, 100, 10, min-max norm  ,0.5204582651391162
183,  0.01, 10, 256, 100, 10, z-score norm  ,0.9828150572831423
184,  0.01, 10, 500, 5, 10, min-max norm  ,0.47217675941080195
185,  0.01, 10, 500, 5, 10, z-score norm  ,0.953355155482815
186,  0.01, 10, 500, 10, 10, min-max norm  ,0.6554828150572831
187,  0.01, 10, 500, 10, 10, z-score norm  ,0.9639934533551555
188,  0.01, 10, 500, 50, 10, min-max norm  ,0.48527004909983634
189,  0.01, 10, 500, 50, 10, z-score norm  ,0.969721767594108
190,  0.01, 10, 500, 100, 10, min-max norm  ,0.486088379705401
191,  0.01, 10, 500, 100, 10, z-score norm  ,0.9828150572831423
192,  0.01, 50, 64, 5, 10, min-max norm  ,0.9615384615384616
193,  0.01, 50, 64, 5, 10, z-score norm  ,0.9566284779050737
194,  0.01, 50, 64, 10, 10, min-max norm  ,0.9607201309328969
195,  0.01, 50, 64, 10, 10, z-score norm  ,0.9631751227495908
196,  0.01, 50, 64, 50, 10, min-max norm  ,0.955810147299509
